stop_id,stop_name,time,Ai
500200,Chiminangos A2,Thu Jun 20 18:02:22 PDT 2019,130
500200,Chiminangos A2,Thu Jun 20 18:04:32 PDT 2019,488
500200,Chiminangos A2,Thu Jun 20 18:12:40 PDT 2019,36
500200,Chiminangos A2,Thu Jun 20 18:13:16 PDT 2019,812
500200,Chiminangos A2,Thu Jun 20 18:26:48 PDT 2019,582
500200,Chiminangos A2,Thu Jun 20 18:36:30 PDT 2019,139
500200,Chiminangos A2,Thu Jun 20 18:38:49 PDT 2019,276
500200,Chiminangos A2,Thu Jun 20 18:43:25 PDT 2019,131
500200,Chiminangos A2,Thu Jun 20 18:45:36 PDT 2019,479
500200,Chiminangos A2,Thu Jun 20 18:53:35 PDT 2019,431
500200,Chiminangos A2,Thu Jun 20 19:00:46 PDT 2019,214
500200,Chiminangos A2,Thu Jun 20 19:04:20 PDT 2019,377
500200,Chiminangos A2,Thu Jun 20 19:10:37 PDT 2019,406
500200,Chiminangos A2,Thu Jun 20 19:17:23 PDT 2019,557
500200,Chiminangos A2,Thu Jun 20 19:26:40 PDT 2019,294
500200,Chiminangos A2,Thu Jun 20 19:31:34 PDT 2019,421
500200,Chiminangos A2,Thu Jun 20 19:38:35 PDT 2019,152
500200,Chiminangos A2,Thu Jun 20 19:41:07 PDT 2019,132
500250,Flora Industrial A1,Thu Jun 20 18:04:22 PDT 2019,115
500250,Flora Industrial A1,Thu Jun 20 18:06:17 PDT 2019,484
500250,Flora Industrial A1,Thu Jun 20 18:14:21 PDT 2019,10
500250,Flora Industrial A1,Thu Jun 20 18:14:31 PDT 2019,830
500250,Flora Industrial A1,Thu Jun 20 18:28:21 PDT 2019,595
500250,Flora Industrial A1,Thu Jun 20 18:38:16 PDT 2019,118
500250,Flora Industrial A1,Thu Jun 20 18:40:14 PDT 2019,242
500250,Flora Industrial A1,Thu Jun 20 18:44:16 PDT 2019,156
500250,Flora Industrial A1,Thu Jun 20 18:46:52 PDT 2019,474
500250,Flora Industrial A1,Thu Jun 20 18:54:46 PDT 2019,460
500250,Flora Industrial A1,Thu Jun 20 19:02:26 PDT 2019,231
500250,Flora Industrial A1,Thu Jun 20 19:06:17 PDT 2019,357
500250,Flora Industrial A1,Thu Jun 20 19:12:14 PDT 2019,386
500250,Flora Industrial A1,Thu Jun 20 19:18:40 PDT 2019,580
500250,Flora Industrial A1,Thu Jun 20 19:28:20 PDT 2019,262
500250,Flora Industrial A1,Thu Jun 20 19:32:42 PDT 2019,455
500250,Flora Industrial A1,Thu Jun 20 19:40:17 PDT 2019,127
500250,Flora Industrial A1,Thu Jun 20 19:42:24 PDT 2019,122
500300,Salomia A1,Thu Jun 20 18:06:09 PDT 2019,161
500300,Salomia A1,Thu Jun 20 18:08:50 PDT 2019,438
500300,Salomia A1,Thu Jun 20 18:16:08 PDT 2019,58
500300,Salomia A1,Thu Jun 20 18:17:06 PDT 2019,835
500300,Salomia A1,Thu Jun 20 18:31:01 PDT 2019,612
500300,Salomia A1,Thu Jun 20 18:41:13 PDT 2019,128
500300,Salomia A1,Thu Jun 20 18:43:21 PDT 2019,201
500300,Salomia A1,Thu Jun 20 18:46:42 PDT 2019,106
500300,Salomia A1,Thu Jun 20 18:48:28 PDT 2019,456
500300,Salomia A1,Thu Jun 20 18:56:04 PDT 2019,460
500300,Salomia A1,Thu Jun 20 19:03:44 PDT 2019,309
500300,Salomia A1,Thu Jun 20 19:08:53 PDT 2019,286
500300,Salomia A1,Thu Jun 20 19:13:39 PDT 2019,449
500300,Salomia A1,Thu Jun 20 19:21:08 PDT 2019,600
500300,Salomia A1,Thu Jun 20 19:31:08 PDT 2019,169
500300,Salomia A1,Thu Jun 20 19:33:57 PDT 2019,556
500300,Salomia A1,Thu Jun 20 19:43:13 PDT 2019,35
500300,Salomia A1,Thu Jun 20 19:43:48 PDT 2019,136
500350,Popular A1,Thu Jun 20 18:00:48 PDT 2019,434
500350,Popular A1,Thu Jun 20 18:08:02 PDT 2019,149
500350,Popular A1,Thu Jun 20 18:10:31 PDT 2019,455
500350,Popular A1,Thu Jun 20 18:18:06 PDT 2019,34
500350,Popular A1,Thu Jun 20 18:18:40 PDT 2019,866
500350,Popular A1,Thu Jun 20 18:33:06 PDT 2019,599
500350,Popular A1,Thu Jun 20 18:43:05 PDT 2019,147
500350,Popular A1,Thu Jun 20 18:45:32 PDT 2019,138
500350,Popular A1,Thu Jun 20 18:47:50 PDT 2019,111
500350,Popular A1,Thu Jun 20 18:49:41 PDT 2019,535
500350,Popular A1,Thu Jun 20 18:58:36 PDT 2019,431
500350,Popular A1,Thu Jun 20 19:05:47 PDT 2019,286
500350,Popular A1,Thu Jun 20 19:10:33 PDT 2019,302
500350,Popular A1,Thu Jun 20 19:15:35 PDT 2019,452
500350,Popular A1,Thu Jun 20 19:23:07 PDT 2019,598
500350,Popular A1,Thu Jun 20 19:33:05 PDT 2019,144
500350,Popular A1,Thu Jun 20 19:35:29 PDT 2019,601
500350,Popular A1,Thu Jun 20 19:45:30 PDT 2019,16
500353,Popular B2,Thu Jun 20 18:01:01 PDT 2019,818
500353,Popular B2,Thu Jun 20 18:14:39 PDT 2019,110
500353,Popular B2,Thu Jun 20 18:16:29 PDT 2019,482
500353,Popular B2,Thu Jun 20 18:24:31 PDT 2019,134
500353,Popular B2,Thu Jun 20 18:26:45 PDT 2019,476
500353,Popular B2,Thu Jun 20 18:34:41 PDT 2019,283
500353,Popular B2,Thu Jun 20 18:39:24 PDT 2019,29
500353,Popular B2,Thu Jun 20 18:39:53 PDT 2019,33
500353,Popular B2,Thu Jun 20 18:40:26 PDT 2019,1124
500353,Popular B2,Thu Jun 20 18:59:10 PDT 2019,199
500353,Popular B2,Thu Jun 20 19:02:29 PDT 2019,138
500353,Popular B2,Thu Jun 20 19:04:47 PDT 2019,580
500353,Popular B2,Thu Jun 20 19:14:27 PDT 2019,210
500353,Popular B2,Thu Jun 20 19:17:57 PDT 2019,122
500353,Popular B2,Thu Jun 20 19:19:59 PDT 2019,404
500353,Popular B2,Thu Jun 20 19:26:43 PDT 2019,15
500353,Popular B2,Thu Jun 20 19:26:58 PDT 2019,345
500353,Popular B2,Thu Jun 20 19:32:43 PDT 2019,91
500353,Popular B2,Thu Jun 20 19:34:14 PDT 2019,614
500301,Salomia B1,Thu Jun 20 18:02:20 PDT 2019,840
500301,Salomia B1,Thu Jun 20 18:16:20 PDT 2019,176
500301,Salomia B1,Thu Jun 20 18:19:16 PDT 2019,414
500301,Salomia B1,Thu Jun 20 18:26:10 PDT 2019,150
500301,Salomia B1,Thu Jun 20 18:28:40 PDT 2019,458
500301,Salomia B1,Thu Jun 20 18:36:18 PDT 2019,326
500301,Salomia B1,Thu Jun 20 18:41:44 PDT 2019,35
500301,Salomia B1,Thu Jun 20 18:42:19 PDT 2019,20
500301,Salomia B1,Thu Jun 20 18:42:39 PDT 2019,1129
500301,Salomia B1,Thu Jun 20 19:01:28 PDT 2019,143
500301,Salomia B1,Thu Jun 20 19:03:51 PDT 2019,161
500301,Salomia B1,Thu Jun 20 19:06:32 PDT 2019,578
500301,Salomia B1,Thu Jun 20 19:16:10 PDT 2019,177
500301,Salomia B1,Thu Jun 20 19:19:07 PDT 2019,147
500301,Salomia B1,Thu Jun 20 19:21:34 PDT 2019,426
500301,Salomia B1,Thu Jun 20 19:28:40 PDT 2019,11
500301,Salomia B1,Thu Jun 20 19:28:51 PDT 2019,328
500301,Salomia B1,Thu Jun 20 19:34:19 PDT 2019,99
500301,Salomia B1,Thu Jun 20 19:35:58 PDT 2019,615
500251,Flora Industrial B1,Thu Jun 20 18:00:23 PDT 2019,222
500251,Flora Industrial B1,Thu Jun 20 18:04:05 PDT 2019,883
500251,Flora Industrial B1,Thu Jun 20 18:18:48 PDT 2019,183
500251,Flora Industrial B1,Thu Jun 20 18:21:51 PDT 2019,440
500251,Flora Industrial B1,Thu Jun 20 18:29:11 PDT 2019,123
500251,Flora Industrial B1,Thu Jun 20 18:31:14 PDT 2019,457
500251,Flora Industrial B1,Thu Jun 20 18:38:51 PDT 2019,328
500251,Flora Industrial B1,Thu Jun 20 18:44:19 PDT 2019,21
500251,Flora Industrial B1,Thu Jun 20 18:44:40 PDT 2019,28
500251,Flora Industrial B1,Thu Jun 20 18:45:08 PDT 2019,1139
500251,Flora Industrial B1,Thu Jun 20 19:04:07 PDT 2019,116
500251,Flora Industrial B1,Thu Jun 20 19:06:03 PDT 2019,188
500251,Flora Industrial B1,Thu Jun 20 19:09:11 PDT 2019,573
500251,Flora Industrial B1,Thu Jun 20 19:18:44 PDT 2019,152
500251,Flora Industrial B1,Thu Jun 20 19:21:16 PDT 2019,174
500251,Flora Industrial B1,Thu Jun 20 19:24:10 PDT 2019,419
500251,Flora Industrial B1,Thu Jun 20 19:31:09 PDT 2019,44
500251,Flora Industrial B1,Thu Jun 20 19:31:53 PDT 2019,303
500251,Flora Industrial B1,Thu Jun 20 19:36:56 PDT 2019,102
500201,Chiminangos B1,Thu Jun 20 18:01:31 PDT 2019,251
500201,Chiminangos B1,Thu Jun 20 18:05:42 PDT 2019,875
500201,Chiminangos B1,Thu Jun 20 18:20:17 PDT 2019,220
500201,Chiminangos B1,Thu Jun 20 18:23:57 PDT 2019,457
500201,Chiminangos B1,Thu Jun 20 18:31:34 PDT 2019,137
500201,Chiminangos B1,Thu Jun 20 18:33:51 PDT 2019,384
500201,Chiminangos B1,Thu Jun 20 18:40:15 PDT 2019,352
500201,Chiminangos B1,Thu Jun 20 18:46:07 PDT 2019,24
500201,Chiminangos B1,Thu Jun 20 18:46:31 PDT 2019,61
500201,Chiminangos B1,Thu Jun 20 18:47:32 PDT 2019,1088
500201,Chiminangos B1,Thu Jun 20 19:05:40 PDT 2019,107
500201,Chiminangos B1,Thu Jun 20 19:07:27 PDT 2019,250
500201,Chiminangos B1,Thu Jun 20 19:11:37 PDT 2019,498
500201,Chiminangos B1,Thu Jun 20 19:19:55 PDT 2019,220
500201,Chiminangos B1,Thu Jun 20 19:23:35 PDT 2019,139
500201,Chiminangos B1,Thu Jun 20 19:25:54 PDT 2019,389
500201,Chiminangos B1,Thu Jun 20 19:32:23 PDT 2019,73
500201,Chiminangos B1,Thu Jun 20 19:33:36 PDT 2019,358
500201,Chiminangos B1,Thu Jun 20 19:39:34 PDT 2019,16
504016,T. Paso del Comercio B3,Thu Jun 20 18:00:33 PDT 2019,153
504016,T. Paso del Comercio B3,Thu Jun 20 18:03:06 PDT 2019,273
504016,T. Paso del Comercio B3,Thu Jun 20 18:07:39 PDT 2019,879
504016,T. Paso del Comercio B3,Thu Jun 20 18:22:18 PDT 2019,662
504016,T. Paso del Comercio B3,Thu Jun 20 18:33:20 PDT 2019,127
504016,T. Paso del Comercio B3,Thu Jun 20 18:35:27 PDT 2019,820
504016,T. Paso del Comercio B3,Thu Jun 20 18:49:07 PDT 2019,1098
504016,T. Paso del Comercio B3,Thu Jun 20 19:07:25 PDT 2019,95
504016,T. Paso del Comercio B3,Thu Jun 20 19:09:00 PDT 2019,128
504016,T. Paso del Comercio B3,Thu Jun 20 19:11:08 PDT 2019,1383
504016,T. Paso del Comercio B3,Thu Jun 20 19:34:11 PDT 2019,536
